***** Begin #0-0 *****
Warning: 725 points required, but 729 points sampled.
Warning: 32768 points required, but 33534 points sampled.
Compiling model...
'compile' took 0.000091 s

PDE Class Name: Burgers2D
Training model...

Step      Train loss                                                                          Test loss                                                                           Test metric
1900      [6.18e-03, 6.55e-02, 7.22e-01, 9.89e-01, 6.29e-05, 4.13e-05, 1.40e-05, 1.86e-05]    [6.64e-03, 8.85e-02, 7.22e-01, 9.89e-01, 6.29e-05, 4.13e-05, 1.40e-05, 1.86e-05]    []  
2000      [4.07e-02, 7.95e-02, 7.21e-01, 9.90e-01, 6.72e-05, 4.70e-05, 1.46e-05, 1.75e-05]    [3.96e-02, 1.07e-01, 7.21e-01, 9.90e-01, 6.72e-05, 4.70e-05, 1.46e-05, 1.75e-05]    []  
2100      [5.64e-03, 6.50e-02, 7.22e-01, 9.89e-01, 6.33e-05, 4.08e-05, 1.24e-05, 1.64e-05]    [6.17e-03, 8.83e-02, 7.22e-01, 9.89e-01, 6.33e-05, 4.08e-05, 1.24e-05, 1.64e-05]    []  
2200      [5.41e-03, 6.47e-02, 7.22e-01, 9.89e-01, 6.37e-05, 4.06e-05, 1.17e-05, 1.55e-05]    [5.98e-03, 8.81e-02, 7.22e-01, 9.89e-01, 6.37e-05, 4.06e-05, 1.17e-05, 1.55e-05]    []  
2300      [5.21e-03, 6.45e-02, 7.22e-01, 9.89e-01, 6.40e-05, 4.04e-05, 1.11e-05, 1.47e-05]    [5.80e-03, 8.79e-02, 7.22e-01, 9.89e-01, 6.40e-05, 4.04e-05, 1.11e-05, 1.47e-05]    []  
2400      [5.02e-03, 6.43e-02, 7.22e-01, 9.89e-01, 6.43e-05, 4.03e-05, 1.05e-05, 1.39e-05]    [5.64e-03, 8.78e-02, 7.22e-01, 9.89e-01, 6.43e-05, 4.03e-05, 1.05e-05, 1.39e-05]    []  
2500      [5.61e-03, 6.40e-02, 7.22e-01, 9.89e-01, 6.47e-05, 3.98e-05, 9.73e-06, 1.32e-05]    [6.10e-03, 8.74e-02, 7.22e-01, 9.89e-01, 6.47e-05, 3.98e-05, 9.73e-06, 1.32e-05]    []  
2600      [4.88e-03, 6.41e-02, 7.22e-01, 9.88e-01, 6.44e-05, 3.96e-05, 9.43e-06, 1.27e-05]    [5.65e-03, 8.79e-02, 7.22e-01, 9.88e-01, 6.44e-05, 3.96e-05, 9.43e-06, 1.27e-05]    []  
2700      [4.88e-02, 1.73e-01, 7.22e-01, 1.00e+00, 6.89e-05, 3.45e-05, 9.63e-06, 1.39e-05]    [3.47e-02, 1.19e-01, 7.22e-01, 1.00e+00, 6.89e-05, 3.45e-05, 9.63e-06, 1.39e-05]    []  
2800      [4.13e-02, 7.98e-02, 7.20e-01, 9.89e-01, 6.81e-05, 4.44e-05, 8.40e-06, 1.13e-05]    [4.53e-02, 1.08e-01, 7.20e-01, 9.89e-01, 6.81e-05, 4.44e-05, 8.40e-06, 1.13e-05]    []  
